institution,project_id,country,title,description,amount_original,original_currency,amount_eur,amount_usd,approval_date,approval_year,closing_date,status,sector,instrument_type,public_private,implementing_entity,source_url,financial_intermediary,guarantee_blended,eu_alignment,humanitarian_dev
EIB,,Serbia,ISP SERBIA LOAN FOR SMES MIDCAPS &CLIMATE ACTION,"A multibeneficiary intermediated loan to Banca Intesa Beograd and Intesa Leasing Beograd for financing of SMEs and Midcaps in Serbia, with a portion dedicated to climate action projects.",60000000.0,EUR,60000000.0,65028000.0,2024-03-08,2024.0,,Active,private sector development,loan,private,,,yes,no,yes,development
EIB,,Serbia,UCBS IMPACT INCENTIVE LOAN FOR SMES & MID-CAPS,A loan facility with UniCredit Bank Srbija A.D. focused on supporting local businesses who commit to generate greater socio-economic impact and sustainable growth in Serbia.,15000000.0,EUR,15000000.0,16219500.0,2023-12-28,2023.0,,Active,private sector development,loan,private,,,yes,no,yes,development
EIB,,Serbia,ISP SERBIA LOAN FOR SMES MIDCAPS &CLIMATE ACTION,"A multibeneficiary intermediated loan to Banca Intesa Beograd and Intesa Leasing Beograd for financing of SMEs and Midcaps in Serbia, with a portion dedicated to climate action projects.",100000000.0,EUR,100000000.0,108130000.0,2023-11-24,2023.0,,Active,private sector development,loan,private,,,yes,no,yes,development
EIB,,Serbia,ROAD REHABILITATION AND SAFETY,Rehabilitation and safety improvements of part of the national road network in Serbia.,85000000.0,EUR,85000000.0,91910500.0,2023-10-06,2023.0,,Active,transport,loan,public,,,no,no,yes,development
EIB,,Serbia,RBRS-RLRS LOAN FOR SMES&MIDCAPS,"Dedicated loan to support small and medium sized projects carried out by SMEs and Mid-Caps located in Serbia, with a partial dedication to Climate Action projects.",30000000.0,EUR,30000000.0,32439000.0,2023-09-29,2023.0,,Active,private sector development,loan,private,,,yes,no,yes,development
EIB,,Serbia,RBRS-RLRS LOAN FOR SMES&MIDCAPS,"Dedicated loan to support small and medium sized projects carried out by SMEs and Mid-Caps located in Serbia, with a partial dedication to Climate Action projects.",30000000.0,EUR,30000000.0,32439000.0,2023-09-29,2023.0,,Active,private sector development,loan,private,,,yes,no,yes,development
EIB,,Serbia,SERBIA CORRIDOR X RAILWAYS FL - GLOBAL GATEWAY,The project consists of upgrading and modernisation of the Belgrade - Nis railway line (approximately 230 km).,168966498.0,EUR,168966498.0,182703474.0,2023-03-30,2023.0,,Active,transport,loan,public,,,no,no,yes,development
EIB,,Serbia,SERBIA CORRIDOR X RAILWAYS FL - GLOBAL GATEWAY,The project consists of upgrading and modernisation of the Belgrade - Nis railway line (approximately 230 km).,80150000.0,EUR,80150000.0,86666195.0,2023-02-23,2023.0,,Active,transport,loan,public,,,no,no,yes,development
EIB,,Serbia,SERBIAN EDUCATION INFRASTRUCTURE FL,"The project consists of construction, renovation and equipping of education facilities in Serbia. The preliminary list of schemes concerns mainly regional centres, offering vocational training and adult education aligned with the labour market needs. However, given that the proposed operation is a f",40000000.0,EUR,40000000.0,43252000.0,2023-01-19,2023.0,,Active,education,loan,public,,,no,no,yes,development
EIB,,Serbia,CONNECTED SCHOOLS IN SERBIA,"The operation support the national digital education investment programme (Connected Schools) in Serbia. The project will finance the continuous professional development (training) of teachers in digital skills, the provision of new digital equipment, the upgrade of the academic data network and cen",5000000.0,EUR,5000000.0,5265000.0,2022-12-29,2022.0,,Active,education,loan,public,,,no,no,yes,development
EIB,,Serbia,OTP SERBIA LOAN FOR SMES & MIDCAPS,Dedicated EIB loan in support of SMEs and Mid-Caps in Serbia.,40000000.0,EUR,40000000.0,42120000.0,2022-12-28,2022.0,,Active,private sector development,loan,private,,,yes,no,yes,development
EIB,,Serbia,OTP SERBIA LOAN FOR SMES & MIDCAPS,Dedicated EIB loan in support of SMEs and Mid-Caps in Serbia.,40000000.0,EUR,40000000.0,42120000.0,2022-12-28,2022.0,,Active,private sector development,loan,private,,,yes,no,yes,development
EIB,,Serbia,SERBIA CORRIDOR X RAILWAYS FL - GLOBAL GATEWAY,The project consists of upgrading and modernisation of the Belgrade - Nis railway line (approximately 230 km).,550000000.0,EUR,550000000.0,579150000.0,2022-12-16,2022.0,,Active,transport,loan,public,,,no,no,yes,development
EIB,,Serbia,SERBIAN INLAND WATERWAY INFRASTRUCTURE,"The project consists of several investments in the existing core Trans-European Transport (TEN-T) Rhine-Danube inland waterway network of the Republic of Serbia, along the Danube and Sava rivers, which aim at increasing the capacity and improving the efficiency and the safety of the inland waterway ",31000000.0,EUR,31000000.0,32643000.0,2022-12-13,2022.0,,Active,transport,loan,public,,,no,no,yes,development
EIB,,Serbia,TELEKOM SRBIJA BROADBAND EVOLUTION,The project relates to the design and early rollout of a 5G mobile telecommunications network throughout Serbia as well as the densification and upgrade of the commercial 4G network. The project will be rolled out throughout the country and includes the deployment of the physical infrastructure (ant,70000000.0,EUR,70000000.0,82789000.0,2021-12-10,2021.0,,Active,digital,loan,public,,,no,no,yes,development
